gdp年份,美国,中国,日本
2010年,974743.7亿元,397983亿元,363014.8498亿元
2009年,963342.7815亿元,340903.1亿元,343400.23073亿元
2008年,1048799.12639亿元,314045.4亿元,356698.4805亿元
2007年,1098648.434亿元,265810.3亿元,342050.02701亿元
2006年,1081427.61508亿元,216314.4亿元,352103.83811亿元
2005年,1028168.94亿元,184937.4亿元,376784.75337亿元
2004年,967250.22亿元,159878.3亿元,381233.64087亿元
2003年,907241.97亿元,135822.8亿元,350042.607亿元
2002年,866601.9亿元,120332.7亿元,324320.18057亿元
2001年,838294.56亿元,109655.2亿元,338982.88607亿元
2000年,812749.43亿元,99214.6亿元,386418.1855亿元
1999年,767205.04亿元,89677.1亿元,361643.47587亿元
1998年,724164.13亿元,84402.3亿元,319323.52017亿元
1997年,688509.513亿元,78973亿元,353349.14145亿元
1996年,649897.066亿元,71176.6亿元,385981.607亿元
1995年,617781.927亿元,60793.7亿元,439628.38032亿元
1994年,609552.918亿元,48197.9亿元,411901.13463亿元
1993年,383599.388亿元,35333.9亿元,250122.0728亿元
1992年,349587.532亿元,26923.5亿元,208602.98911亿元
1991年,319161.757亿元,21781.5亿元,184438.22806亿元
